
472863,23,2423.0,50,1,2,0,FULL
472960,26,2426.0,50,1,2,0,FULL
473055,29,2429.0,50,1,2,0,FULL
474660,80,2480.0,50,1,2,0,FULL
477894,25,2425.0,50,1,2,0,FULL
482071,0,2400.0,50,1,2,0,FULL
487130,3,2403.0,50,1,2,0,FULL
487759,23,2423.0,50,1,2,0,FULL
487855,26,2426.0,50,1,2,0,FULL
492693,22,2422.0,50,1,2,0,FULL
494580,82,2482.0,50,1,2,0,FULL
496997,1,2401.0,50,1,2,0,FULL
499420,78,2478.0,50,1,2,0,FULL
501931,0,2400.0,50,1,2,0,FULL
502026,3,2403.0,50,1,2,0,FULL
502657,23,2423.0,50,1,2,0,FULL
502752,26,2426.0,50,1,2,0,FULL
504420,79,2479.0,50,1,2,0,FULL
507056,5,2405.0,50,1,2,0,FULL
507686,25,2425.0,50,1,2,0,FULL
509385,79,2479.0,50,1,2,0,FULL
511896,1,2401.0,50,1,2,0,FULL
511991,4,2404.0,50,1,2,0,FULL
512748,28,2428.0,50,1,2,0,FULL
516925,3,2403.0,50,1,2,0,FULL
517681,27,2427.0,50,1,2,0,FULL
522582,25,2425.0,50,1,2,0,FULL
523275,47,2447.0,50,4,8,0,FULL
523308,48,2448.0,50,2,4,0,FULL
523340,49,2449.0,50,2,4,0,FULL
526857,3,2403.0,50,1,2,0,FULL
527582,26,2426.0,50,1,2,0,FULL
532228,2,2402.0,50,0,0,0,BLE
532260,26,2426.0,50,0,0,0,BLE
532293,80,2480.0,50,1,2,0,BLE
533325,2,2402.0,50,1,2,0,BLE
533358,26,2426.0,50,0,0,0,BLE
533391,80,2480.0,50,0,0,0,BLE
534423,2,2402.0,50,0,0,0,BLE
534456,26,2426.0,50,0,0,0,BLE
534489,80,2480.0,50,1,2,0,BLE
535521,2,2402.0,50,0,0,0,BLE
535554,26,2426.0,50,0,0,0,BLE
535586,80,2480.0,50,0,0,0,BLE
time_ms,channel,freq_mhz,samples,detected,occupancy_pct,alert,mode
43,0,2400.0,50,1,2,0,FULL
169,4,2404.0,50,1,2,0,FULL
799,24,2424.0,50,1,2,0,FULL
894,27,2427.0,50,1,2,0,FULL
5827,26,2426.0,50,1,2,0,FULL
10036,2,2402.0,50,1,2,0,FULL
10760,25,2425.0,50,1,2,0,FULL
12460,79,2479.0,50,1,2,0,FULL
14970,1,2401.0,50,1,2,0,FULL
time_ms,channel,freq_mhz,samples,detected,occupancy_pct,alert,mode
43,0,2400.0,50,1,2,0,FULL
892,27,2427.0,50,1,2,0,FULL
2561,80,2480.0,50,1,2,0,FULL
5071,2,2402.0,50,1,2,0,FULL
14997,2,2402.0,50,1,2,0,FULL
17514,82,2482.0,50,1,2,0,FULL
20025,4,2404.0,50,1,2,0,FULL
20655,24,2424.0,50,1,2,0,FULL
20750,27,2427.0,50,1,2,0,FULL
22450,81,2481.0,50,1,2,0,FULL
24865,0,2400.0,50,1,2,0,FULL
25684,26,2426.0,50,1,2,0,FULL
27353,79,2479.0,50,1,2,0,FULL
30331,2,2402.0,50,0,0,0,BLE
30364,26,2426.0,50,0,0,0,BLE
30397,80,2480.0,50,0,0,0,BLE
31429,2,2402.0,50,0,0,0,BLE
31462,26,2426.0,50,0,0,0,BLE
31495,80,2480.0,50,0,0,0,BLE
32527,2,2402.0,50,1,2,0,BLE
32560,26,2426.0,50,0,0,0,BLE
32592,80,2480.0,50,0,0,0,BLE
33625,2,2402.0,50,0,0,0,BLE
33657,26,2426.0,50,0,0,0,BLE
33690,80,2480.0,50,1,2,0,BLE
34722,2,2402.0,50,0,0,0,BLE
34755,26,2426.0,50,0,0,0,BLE
34788,80,2480.0,50,0,0,0,BLE
35820,2,2402.0,50,0,0,0,BLE
35853,26,2426.0,50,0,0,0,BLE
35886,80,2480.0,50,1,2,0,BLE
36918,2,2402.0,50,1,2,0,BLE
36951,26,2426.0,50,0,0,0,BLE
36983,80,2480.0,50,0,0,0,BLE
38016,2,2402.0,50,0,0,0,BLE
38048,26,2426.0,50,0,0,0,BLE
38081,80,2480.0,50,0,0,0,BLE
39113,2,2402.0,50,1,2,0,BLE
39146,26,2426.0,50,0,0,0,BLE
39179,80,2480.0,50,0,0,0,BLE
40211,2,2402.0,50,0,0,0,BLE
40244,26,2426.0,50,0,0,0,BLE
40276,80,2480.0,50,1,2,0,BLE
41309,2,2402.0,50,0,0,0,BLE
41341,26,2426.0,50,1,2,0,BLE
41374,80,2480.0,50,0,0,0,BLE
42406,2,2402.0,50,0,0,0,BLE
42439,26,2426.0,50,0,0,0,BLE
42472,80,2480.0,50,0,0,0,BLE
43505,2,2402.0,50,0,0,0,BLE
43537,26,2426.0,50,1,2,0,BLE
43570,80,2480.0,50,0,0,0,BLE
44603,2,2402.0,50,0,0,0,BLE
44635,26,2426.0,50,0,0,0,BLE
44667,80,2480.0,50,0,0,0,BLE
45701,2,2402.0,50,0,0,0,BLE
45732,26,2426.0,50,1,2,0,BLE
45765,80,2480.0,50,0,0,0,BLE
46798,2,2402.0,50,1,2,0,BLE
46830,26,2426.0,50,0,0,0,BLE
46863,80,2480.0,50,0,0,0,BLE
47896,2,2402.0,50,0,0,0,BLE
47928,26,2426.0,50,0,0,0,BLE
47961,80,2480.0,50,0,0,0,BLE
48994,2,2402.0,50,0,0,0,BLE
49026,26,2426.0,50,0,0,0,BLE
49058,80,2480.0,50,0,0,0,BLE
50092,2,2402.0,50,0,0,0,BLE
50123,26,2426.0,50,0,0,0,BLE
50156,80,2480.0,50,1,2,0,BLE
51189,2,2402.0,50,0,0,0,BLE
51222,26,2426.0,50,0,0,0,BLE
51254,80,2480.0,50,0,0,0,BLE
52287,2,2402.0,50,0,0,0,BLE
52320,26,2426.0,50,0,0,0,BLE
52352,80,2480.0,50,0,0,0,BLE
53385,2,2402.0,50,1,2,0,BLE
53417,26,2426.0,50,0,0,0,BLE
53449,80,2480.0,50,0,0,0,BLE
54482,2,2402.0,50,0,0,0,BLE
54515,26,2426.0,50,0,0,0,BLE
54547,80,2480.0,50,0,0,0,BLE
55580,2,2402.0,50,0,0,0,BLE
55613,26,2426.0,50,0,0,0,BLE
55646,80,2480.0,50,0,0,0,BLE
56678,2,2402.0,50,0,0,0,BLE
56711,26,2426.0,50,0,0,0,BLE
56743,80,2480.0,50,0,0,0,BLE
57776,2,2402.0,50,0,0,0,BLE
57808,26,2426.0,50,0,0,0,BLE
57841,80,2480.0,50,0,0,0,BLE
58873,2,2402.0,50,0,0,0,BLE
58906,26,2426.0,50,0,0,0,BLE
58939,80,2480.0,50,0,0,0,BLE
59971,2,2402.0,50,0,0,0,BLE
60004,26,2426.0,50,1,2,0,BLE
60037,80,2480.0,50,0,0,0,BLE
61069,2,2402.0,50,0,0,0,BLE
61102,26,2426.0,50,0,0,0,BLE
61134,80,2480.0,50,1,2,0,BLE
62167,2,2402.0,50,0,0,0,BLE
62199,26,2426.0,50,1,2,0,BLE
62232,80,2480.0,50,0,0,0,BLE
63264,2,2402.0,50,0,0,0,BLE
63297,26,2426.0,50,0,0,0,BLE
63330,80,2480.0,50,0,0,0,BLE
64362,2,2402.0,50,0,0,0,BLE
64395,26,2426.0,50,0,0,0,BLE
64428,80,2480.0,50,1,2,0,BLE
65460,2,2402.0,50,1,2,0,BLE
65492,26,2426.0,50,0,0,0,BLE
65525,80,2480.0,50,0,0,0,BLE
66557,2,2402.0,50,0,0,0,BLE
66590,26,2426.0,50,0,0,0,BLE
66623,80,2480.0,50,0,0,0,BLE
67655,2,2402.0,50,1,2,0,BLE
67688,26,2426.0,50,0,0,0,BLE
67721,80,2480.0,50,0,0,0,BLE
68753,2,2402.0,50,0,0,0,BLE
68786,26,2426.0,50,0,0,0,BLE
68818,80,2480.0,50,1,2,0,BLE
69851,2,2402.0,50,0,0,0,BLE
69883,26,2426.0,50,0,0,0,BLE
69916,80,2480.0,50,0,0,0,BLE
70948,2,2402.0,50,1,2,0,BLE
70981,26,2426.0,50,0,0,0,BLE
71014,80,2480.0,50,0,0,0,BLE
72046,2,2402.0,50,0,0,0,BLE
72079,26,2426.0,50,0,0,0,BLE
72112,80,2480.0,50,0,0,0,BLE
73144,2,2402.0,50,0,0,0,BLE
73177,26,2426.0,50,0,0,0,BLE
73209,80,2480.0,50,0,0,0,BLE
74242,2,2402.0,50,0,0,0,BLE
74274,26,2426.0,50,0,0,0,BLE
74307,80,2480.0,50,0,0,0,BLE
75340,2,2402.0,50,0,0,0,BLE
75372,26,2426.0,50,0,0,0,BLE
75405,80,2480.0,50,0,0,0,BLE
76438,2,2402.0,50,0,0,0,BLE
76470,26,2426.0,50,1,2,0,BLE
76503,80,2480.0,50,0,0,0,BLE
77536,2,2402.0,50,0,0,0,BLE
77568,26,2426.0,50,0,0,0,BLE
77600,80,2480.0,50,0,0,0,BLE
78633,2,2402.0,50,0,0,0,BLE
78665,26,2426.0,50,0,0,0,BLE
78698,80,2480.0,50,1,2,0,BLE
79731,2,2402.0,50,1,2,0,BLE
79763,26,2426.0,50,0,0,0,BLE
79796,80,2480.0,50,0,0,0,BLE
80829,2,2402.0,50,0,0,0,BLE
80861,26,2426.0,50,0,0,0,BLE
80893,80,2480.0,50,0,0,0,BLE
81927,2,2402.0,50,0,0,0,BLE
81959,26,2426.0,50,0,0,0,BLE
81991,80,2480.0,50,0,0,0,BLE
83024,2,2402.0,50,0,0,0,BLE
83057,26,2426.0,50,0,0,0,BLE
83089,80,2480.0,50,0,0,0,BLE
84122,2,2402.0,50,0,0,0,BLE
84155,26,2426.0,50,0,0,0,BLE
84187,80,2480.0,50,0,0,0,BLE
85220,2,2402.0,50,0,0,0,BLE
85253,26,2426.0,50,1,2,0,BLE
85284,80,2480.0,50,0,0,0,BLE
86318,2,2402.0,50,1,2,0,BLE
86350,26,2426.0,50,0,0,0,BLE
86382,80,2480.0,50,0,0,0,BLE
87415,2,2402.0,50,0,0,0,BLE
87448,26,2426.0,50,0,0,0,BLE
87481,80,2480.0,50,0,0,0,BLE
88513,2,2402.0,50,0,0,0,BLE
88546,26,2426.0,50,1,2,0,BLE
88579,80,2480.0,50,0,0,0,BLE
89611,2,2402.0,50,0,0,0,BLE
89644,26,2426.0,50,0,0,0,BLE
89676,80,2480.0,50,3,6,0,BLE
90708,2,2402.0,50,0,0,0,BLE
90741,26,2426.0,50,0,0,0,BLE
90774,80,2480.0,50,0,0,0,BLE
91806,2,2402.0,50,0,0,0,BLE
91839,26,2426.0,50,0,0,0,BLE
91872,80,2480.0,50,1,2,0,BLE
92904,2,2402.0,50,1,2,0,BLE
92937,26,2426.0,50,0,0,0,BLE
92969,80,2480.0,50,0,0,0,BLE
94002,2,2402.0,50,0,0,0,BLE
94034,26,2426.0,50,1,2,0,BLE
94067,80,2480.0,50,0,0,0,BLE
95099,2,2402.0,50,0,0,0,BLE
95132,26,2426.0,50,0,0,0,BLE
95165,80,2480.0,50,0,0,0,BLE
96197,2,2402.0,50,0,0,0,BLE
96230,26,2426.0,50,1,2,0,BLE
96263,80,2480.0,50,0,0,0,BLE
97295,2,2402.0,50,0,0,0,BLE
97328,26,2426.0,50,0,0,0,BLE
97360,80,2480.0,50,0,0,0,BLE
98393,2,2402.0,50,0,0,0,BLE
98425,26,2426.0,50,0,0,0,BLE
98458,80,2480.0,50,0,0,0,BLE
99490,2,2402.0,50,0,0,0,BLE
99523,26,2426.0,50,0,0,0,BLE
99556,80,2480.0,50,0,0,0,BLE
100588,2,2402.0,50,0,0,0,BLE
100621,26,2426.0,50,1,2,0,BLE
100654,80,2480.0,50,0,0,0,BLE
101686,2,2402.0,50,1,2,0,BLE
101719,26,2426.0,50,0,0,0,BLE
101751,80,2480.0,50,0,0,0,BLE
102785,2,2402.0,50,0,0,0,BLE
102816,26,2426.0,50,0,0,0,BLE
102849,80,2480.0,50,0,0,0,BLE
103882,2,2402.0,50,1,2,0,BLE
103915,26,2426.0,50,0,0,0,BLE
103948,80,2480.0,50,0,0,0,BLE
104980,2,2402.0,50,0,0,0,BLE
105013,26,2426.0,50,0,0,0,BLE
105046,80,2480.0,50,0,0,0,BLE
106078,2,2402.0,50,1,2,0,BLE
106110,26,2426.0,50,0,0,0,BLE
106143,80,2480.0,50,0,0,0,BLE
107175,2,2402.0,50,0,0,0,BLE
107208,26,2426.0,50,0,0,0,BLE
107241,80,2480.0,50,0,0,0,BLE
108273,2,2402.0,50,1,2,0,BLE
108306,26,2426.0,50,1,2,0,BLE
108339,80,2480.0,50,0,0,0,BLE
109372,2,2402.0,50,0,0,0,BLE
109404,26,2426.0,50,0,0,0,BLE
109436,80,2480.0,50,0,0,0,BLE
110470,2,2402.0,50,1,2,0,BLE
110502,26,2426.0,50,0,0,0,BLE
110535,80,2480.0,50,0,0,0,BLE
111567,2,2402.0,50,0,0,0,BLE
111600,26,2426.0,50,1,2,0,BLE
111633,80,2480.0,50,0,0,0,BLE
112665,2,2402.0,50,0,0,0,BLE
112698,26,2426.0,50,0,0,0,BLE
112731,80,2480.0,50,0,0,0,BLE
113763,2,2402.0,50,0,0,0,BLE
113796,26,2426.0,50,1,2,0,BLE
113828,80,2480.0,50,0,0,0,BLE
114861,2,2402.0,50,0,0,0,BLE
114893,26,2426.0,50,0,0,0,BLE
114926,80,2480.0,50,1,2,0,BLE
115959,2,2402.0,50,0,0,0,BLE
115991,26,2426.0,50,1,2,0,BLE
116024,80,2480.0,50,0,0,0,BLE
117057,2,2402.0,50,0,0,0,BLE
117090,26,2426.0,50,0,0,0,BLE
117123,80,2480.0,50,0,0,0,BLE
118155,2,2402.0,50,0,0,0,BLE
118188,26,2426.0,50,1,2,0,BLE
118220,80,2480.0,50,0,0,0,BLE
119252,2,2402.0,50,0,0,0,BLE
119285,26,2426.0,50,0,0,0,BLE
119318,80,2480.0,50,0,0,0,BLE
120350,2,2402.0,50,0,0,0,BLE
120383,26,2426.0,50,1,2,0,BLE
120416,80,2480.0,50,0,0,0,BLE
121448,2,2402.0,50,0,0,0,BLE
121481,26,2426.0,50,0,0,0,BLE
121513,80,2480.0,50,0,0,0,BLE
122547,2,2402.0,50,0,0,0,BLE
122578,26,2426.0,50,0,0,0,BLE
122611,80,2480.0,50,0,0,0,BLE
123644,2,2402.0,50,0,0,0,BLE
123677,26,2426.0,50,0,0,0,BLE
123709,80,2480.0,50,0,0,0,BLE
124742,2,2402.0,50,0,0,0,BLE
124775,26,2426.0,50,0,0,0,BLE
124808,80,2480.0,50,0,0,0,BLE
125840,2,2402.0,50,0,0,0,BLE
125873,26,2426.0,50,0,0,0,BLE
125905,80,2480.0,50,0,0,0,BLE
126938,2,2402.0,50,0,0,0,BLE
126970,26,2426.0,50,0,0,0,BLE
127003,80,2480.0,50,0,0,0,BLE
128035,2,2402.0,50,0,0,0,BLE
128068,26,2426.0,50,0,0,0,BLE
128101,80,2480.0,50,0,0,0,BLE
129134,2,2402.0,50,0,0,0,BLE
129166,26,2426.0,50,0,0,0,BLE
129199,80,2480.0,50,0,0,0,BLE
